alpha,rmse_mean,rmse_std,num_seeds
1.0000,4.163751,0.139802,5
1.0200,3.795899,0.182219,5
1.0400,2.029636,1.038592,5
1.0600,1.145961,0.705393,5
1.0800,0.327578,0.013284,5
1.1000,0.336259,0.005315,5
1.1200,0.352506,0.004381,5
1.1400,0.375825,0.006939,5
1.1600,0.392954,0.005687,5
1.1800,0.409993,0.003774,5
1.2000,0.429159,0.008926,5
